Date,Price,Gold_Return
2020-01-02,69166.82,0.001880150678577941
2020-01-03,68827.24,-0.0049095794775587676
2020-01-06,69196.48,0.005364736403784098
2020-01-07,69562.45,0.005288852843381653
2020-01-08,67916.99,-0.023654428502733804
2020-01-09,68194.96,0.004092790331255758
2020-01-10,67493.91,-0.010280085214508516
2020-01-13,67614.21,0.0017823830327803325
2020-01-14,67848.8,0.003469536950886365
2020-01-15,68239.02,0.005751317635684039
2020-01-16,67798.13,-0.006460966174484883
2020-01-17,68928.65,0.016674796192756247
2020-01-20,68390.79,-0.00780314136429483
2020-01-21,67093.36,-0.01897082925931981
2020-01-22,67455.24,0.005393678301399696
2020-01-23,66979.96,-0.007045857371495545
2020-01-24,66289.73,-0.010305022576902245
2020-01-27,66761.28,0.007113469914570514
2020-01-28,66239.97,-0.0078085680801806
2020-01-29,66493.46,0.003826843520611467
2020-01-30,66386.69,-0.0016057218258758166
2020-01-31,65829.28,-0.008396411991620667
2020-02-03,64930.06,-0.013659879008246834
2020-02-04,63602.61,-0.020444305765311088
2020-02-05,64593.27,0.015575775899762556
2020-02-06,65219.23,0.009690792864334163
2020-02-07,65418.99,0.0030629003132971455
2020-02-10,65631.64,0.0032505851894075732
2020-02-11,65994.49,0.0055285834698022285
2020-02-12,66180.26,0.002814931973866175
2020-02-13,66852.27,0.010154236323641097
2020-02-14,66826.2,-0.00038996431983551183
2020-02-17,67387.58,0.00840059737049259
2020-02-18,66473.22,-0.013568672446762409
2020-02-19,65974.94,-0.0074959510010196295
2020-02-20,65878.87,-0.0014561589597505975
2020-02-21,66546.34,0.010131776698659278
2020-02-24,67134.73,0.008841808580306587
2020-02-25,66678.44,-0.00679663119223084
2020-02-26,66432.47,-0.003688898540517793
2020-02-27,66040.12,-0.005905997473825808
2020-02-28,65868.54,-0.0025981176291018926
2020-03-02,66295.16,0.0064768400817751814
2020-03-03,66797.03,0.0075702358965570316
2020-03-04,67154.47,0.005351136120872457
2020-03-05,68607.36,0.021635045291847232
2020-03-06,68608.88,2.2155057416650692e-05
2020-03-09,70110.29,0.021883610401452147
2020-03-10,69882.62,-0.00324731219910801
2020-03-11,69800.85,-0.0011701049559960097
2020-03-12,70287.61,0.00697355404697797
2020-03-13,72447.25,0.030725756644734314
2020-03-16,72608.13,0.002220650197212626
2020-03-17,73099.87,0.006772519826636403
2020-03-18,71493.02,-0.02198157123945621
2020-03-19,72011.51,0.007252316379976476
2020-03-20,72142.26,0.0018156819652859202
2020-03-23,72948.39,0.011174171699084523
2020-03-24,74227.99,0.017541168489119574
2020-03-25,74166.32,-0.0008308186709622412
2020-03-26,73591.85,-0.007745699125964456
2020-03-27,75232.04,0.022287658212152506
2020-03-30,75391.33,0.0021173159733540725
2020-03-31,75936.37,0.007229478509000797
2020-04-01,75851.12,-0.0011226504506338664
2020-04-02,76109.23,0.003402850215000086
2020-04-03,75870.73,-0.003133654091625915
2020-04-06,76430.22,0.007374253549425447
2020-04-07,76733.56,0.00396884897099592
2020-04-08,77963.6,0.016030013464773507
2020-04-09,77330.51,-0.008120327947914285
2020-04-10,78086.71,0.009778805286555281
2020-04-13,77998.34,-0.001131690655170492
2020-04-14,78165.36,0.0021413276231263545
2020-04-15,78183.19,0.00022810615853363636
2020-04-16,80010.54,0.023372671286500113
2020-04-17,80988.31,0.012220514947155703
2020-04-20,81927.97,0.011602415212763395
2020-04-21,83144.06,0.014843404517407066
2020-04-22,83452.93,0.003714877527029481
2020-04-23,83320.2,-0.0015904774104396058
2020-04-24,83637.67,0.003810240493901773
2020-04-27,83523.62,-0.0013636200051962977
2020-04-28,83768.63,0.002933421707536299
2020-04-29,84646.89,0.010484354346012248
2020-04-30,86449.08,0.021290681795870015
2020-05-01,87279.18,0.009602184314743356
2020-05-04,88704.84,0.016334479769402055
2020-05-05,90081.77,0.015522602825279952
2020-05-06,91187.5,0.012274736608749892
2020-05-07,92207.29,0.01118344071281685
2020-05-08,91199.53,-0.01092928769514856
2020-05-11,91637.81,0.004805726520739739
2020-05-12,91653.06,0.00016641602412792444
2020-05-13,93570.63,0.020922051047722823
2020-05-14,93906.82,0.0035929008920854155
2020-05-15,95921.7,0.02145616260884986
2020-05-18,94805.27,-0.011638972203369957
2020-05-19,95998.33,0.012584321525586084
2020-05-20,97244.82,0.012984496709474103
2020-05-21,97915.26,0.006894351801977505
2020-05-22,98238.82,0.0033044900253547116
2020-05-25,99367.65,0.01149067140668003
2020-05-26,101402.7,0.020480005313600502
2020-05-27,101632.0,0.002261281011255223
2020-05-28,102015.11,0.0037695804471031824
2020-05-29,102790.45,0.007600246669341448
2020-06-01,102446.51,-0.0033460306867029166
2020-06-02,103407.9,0.00938431187162947
2020-06-03,104747.36,0.012953168955176508
2020-06-04,105498.1,0.007167149606443601
2020-06-05,105832.13,0.0031662181593792305
2020-06-08,106335.13,0.0047528099453351125
2020-06-09,104619.01,-0.016138786871281452
2020-06-10,103849.25,-0.0073577450216743
2020-06-11,102365.14,-0.014291003546005432
2020-06-12,103435.44,0.01045570787086314
2020-06-15,102347.21,-0.010520862095235395
2020-06-16,102554.66,0.0020269238409136303
2020-06-17,104150.3,0.0155589224321937
2020-06-18,104992.53,0.008086678578938189
2020-06-19,105143.81,0.0014408644119729974
2020-06-22,104523.09,-0.005903533455749788
2020-06-23,103972.81,-0.0052646740543166315
2020-06-24,104235.61,0.002527583894289309
2020-06-25,104647.95,0.003955845799722413
2020-06-26,104539.05,-0.001040631947400783
2020-06-29,103638.26,-0.008616780045351602
2020-06-30,102188.41,-0.013989524717994972
2020-07-01,101906.24,-0.002761272046409191
2020-07-02,101323.11,-0.005722220739377781
2020-07-03,102476.47,0.011382990514207547
2020-07-06,103859.37,0.01349480519771995
2020-07-07,102083.9,-0.01709494290211855
2020-07-08,102262.69,0.001751402522826906
2020-07-09,104651.46,0.023359154741577903
2020-07-10,106031.86,0.013190451428006789
2020-07-13,105701.97,-0.0031112346798405355
2020-07-14,106682.16,0.009273147889296673
2020-07-15,106885.56,0.001906598066630849
2020-07-16,107166.44,0.0026278573083211576
2020-07-17,108906.38,0.01623586637757124
2020-07-20,108143.6,-0.00700399737829871
2020-07-21,109279.14,0.010500297752247922
2020-07-22,108641.83,-0.005831945602792987
2020-07-23,109180.5,0.00495821913161798
2020-07-24,109121.68,-0.0005387408923754888
2020-07-27,109226.94,0.0009646112486538794
2020-07-28,111734.72,0.022959354166655288
2020-07-29,111064.56,-0.005997777593213627
2020-07-30,112748.07,0.01515794057078157
2020-07-31,112058.79,-0.006113452762428806
2020-08-03,112127.6,0.00061405267717074
2020-08-04,113434.38,0.011654400878998494
2020-08-05,113546.27,0.0009863852563922748
2020-08-06,113873.51,0.0028819969163231818
2020-08-07,113866.04,-6.559910202119656e-05
