Date,Close,NIFTY_Return
2020-01-02,12434.28,-0.005980451016021071
2020-01-03,12253.7,-0.01452275483582488
2020-01-06,12538.33,0.023228086210695498
2020-01-07,12546.43,0.0006460190471937466
2020-01-08,12516.89,-0.002354454613782586
2020-01-09,12377.17,-0.011162517206750211
2020-01-10,12849.64,0.038172700221456024
2020-01-13,12683.09,-0.012961452616571334
2020-01-14,12620.75,-0.004915205994753702
2020-01-15,12693.09,0.005731830517203829
2020-01-16,12795.53,0.008070532864731916
2020-01-17,12957.06,0.012623939766465142
2020-01-20,13261.84,0.02352231138854033
2020-01-21,13353.04,0.006876873797301286
2020-01-22,13182.83,-0.012746910066921191
2020-01-23,13146.48,-0.0027573745546289885
2020-01-24,13203.86,0.004364666435426212
2020-01-27,13558.89,0.026888349316033233
2020-01-28,13328.54,-0.016988853807354376
2020-01-29,13538.47,0.015750412273212167
2020-01-30,13575.65,0.002746248283594932
2020-01-31,13726.25,0.011093391476651338
2020-02-03,13715.15,-0.0008086695200801852
2020-02-04,13576.81,-0.010086655997200156
2020-02-05,13712.39,0.009986145493676268
2020-02-06,13832.5,0.008759231614620111
2020-02-07,14009.62,0.012804626784746143
2020-02-10,14013.94,0.0003083595415149798
2020-02-11,13915.06,-0.007055831550584757
2020-02-12,13650.95,-0.01898015531373909
2020-02-13,13799.17,0.010857852383900024
2020-02-14,13879.67,0.005833684199846756
2020-02-17,13718.34,-0.011623475197897304
2020-02-18,13632.06,-0.006289390698874686
2020-02-19,13558.58,-0.005390234491338797
2020-02-20,13313.95,-0.018042449873069244
2020-02-21,13183.77,-0.00977771435223962
2020-02-24,13002.97,-0.013713831476125704
2020-02-25,12941.73,-0.004709693247004321
2020-02-26,12827.96,-0.008790942169246363
2020-02-27,12573.67,-0.019823105154677667
2020-02-28,12904.33,0.02629781121979491
2020-03-02,12856.12,-0.003735955295625537
2020-03-03,12484.42,-0.028912300134099622
2020-03-04,12285.13,-0.015963096403357246
2020-03-05,12111.14,-0.014162650293484846
2020-03-06,12056.55,-0.004507420441015486
2020-03-09,11702.13,-0.02939646913918159
2020-03-10,11634.86,-0.005748526123021902
2020-03-11,11331.42,-0.02608024505666595
2020-03-12,10926.87,-0.03570161550802986
2020-03-13,10813.82,-0.01034605518323184
2020-03-16,10778.6,-0.0032569434297962108
2020-03-17,10920.52,0.013166830571688326
2020-03-18,10548.72,-0.03404599780962825
2020-03-19,10436.26,-0.010661009108213992
2020-03-20,10181.78,-0.024384214268329818
2020-03-23,10083.95,-0.00960833960270202
2020-03-24,9707.46,-0.03733556790741743
2020-03-25,9369.52,-0.03481240200835223
2020-03-26,9098.99,-0.02887341080439565
2020-03-27,8931.94,-0.01835918052443175
2020-03-30,8688.79,-0.02722252948407622
2020-03-31,8591.84,-0.011158055379402732
2020-04-01,8707.86,0.013503510307454558
2020-04-02,8778.07,0.008062830592131531
2020-04-03,8963.2,0.021090057381634164
2020-04-06,9014.58,0.005732327740092691
2020-04-07,8881.65,-0.014746111299694498
2020-04-08,9039.83,0.017809753818265772
2020-04-09,8975.45,-0.007121815343872573
2020-04-10,9083.31,0.012017224763103629
2020-04-13,9269.62,0.020511245349988272
2020-04-14,9327.55,0.006249447118652052
2020-04-15,9157.73,-0.018206281392219803
2020-04-16,9056.72,-0.011030025999893
2020-04-17,9213.3,0.017288819793479293
2020-04-20,9198.07,-0.0016530450544320896
2020-04-21,9211.68,0.0014796582326510599
2020-04-22,9304.59,0.010086108071491795
2020-04-23,9391.05,0.009292188049124128
2020-04-24,9428.59,0.003997423078356599
2020-04-27,9408.31,-0.0021509048542783793
2020-04-28,9375.78,-0.003457581648563801
2020-04-29,9482.19,0.011349455725283564
2020-04-30,9553.1,0.007478230240060668
2020-05-01,9526.72,-0.0027614072918739074
2020-05-04,9662.09,0.014209507574485247
2020-05-05,9650.99,-0.0011488197688078738
2020-05-06,9552.53,-0.010202062171860038
2020-05-07,9466.13,-0.009044724277233462
2020-05-08,9354.58,-0.011784118747576788
2020-05-11,9326.97,-0.002951495417218175
2020-05-12,9477.58,0.0161477950502682
2020-05-13,9386.4,-0.00962059935131121
2020-05-14,9413.2,0.0028551947498509644
2020-05-15,9340.09,-0.00776675307015684
2020-05-18,9313.94,-0.0027997588888329927
2020-05-19,9142.77,-0.018377829361151177
2020-05-20,9121.75,-0.002299084413148411
2020-05-21,9103.85,-0.0019623427522130754
2020-05-22,9170.4,0.007310094081075524
2020-05-25,9200.61,0.0032942946872547285
2020-05-26,9067.06,-0.014515341917546887
2020-05-27,9196.14,0.014236147108323882
2020-05-28,9224.93,0.003130661342693797
2020-05-29,9252.42,0.002979968411684464
2020-06-01,9255.75,0.0003599058408503275
2020-06-02,9199.95,-0.00602868487156627
2020-06-03,9229.63,0.0032261044896981783
2020-06-04,9289.52,0.0064888841697881006
2020-06-05,9091.63,-0.02130250002152978
2020-06-08,9034.43,-0.006291501083963924
2020-06-09,9009.74,-0.002732878554596141
