Date,Close,NIFTY_Return,Price,Gold_Return
2020-01-02,12434.28,-0.005980451016021071,69166.82,0.001880150678577941
2020-01-03,12253.7,-0.01452275483582488,68827.24,-0.0049095794775587676
2020-01-06,12538.33,0.023228086210695498,69196.48,0.005364736403784098
2020-01-07,12546.43,0.0006460190471937466,69562.45,0.005288852843381653
2020-01-08,12516.89,-0.002354454613782586,67916.99,-0.023654428502733804
2020-01-09,12377.17,-0.011162517206750211,68194.96,0.004092790331255758
2020-01-10,12849.64,0.038172700221456024,67493.91,-0.010280085214508516
2020-01-13,12683.09,-0.012961452616571334,67614.21,0.0017823830327803325
2020-01-14,12620.75,-0.004915205994753702,67848.8,0.003469536950886365
2020-01-15,12693.09,0.005731830517203829,68239.02,0.005751317635684039
2020-01-16,12795.53,0.008070532864731916,67798.13,-0.006460966174484883
2020-01-17,12957.06,0.012623939766465142,68928.65,0.016674796192756247
2020-01-20,13261.84,0.02352231138854033,68390.79,-0.00780314136429483
2020-01-21,13353.04,0.006876873797301286,67093.36,-0.01897082925931981
2020-01-22,13182.83,-0.012746910066921191,67455.24,0.005393678301399696
2020-01-23,13146.48,-0.0027573745546289885,66979.96,-0.007045857371495545
2020-01-24,13203.86,0.004364666435426212,66289.73,-0.010305022576902245
2020-01-27,13558.89,0.026888349316033233,66761.28,0.007113469914570514
2020-01-28,13328.54,-0.016988853807354376,66239.97,-0.0078085680801806
2020-01-29,13538.47,0.015750412273212167,66493.46,0.003826843520611467
2020-01-30,13575.65,0.002746248283594932,66386.69,-0.0016057218258758166
2020-01-31,13726.25,0.011093391476651338,65829.28,-0.008396411991620667
2020-02-03,13715.15,-0.0008086695200801852,64930.06,-0.013659879008246834
2020-02-04,13576.81,-0.010086655997200156,63602.61,-0.020444305765311088
2020-02-05,13712.39,0.009986145493676268,64593.27,0.015575775899762556
2020-02-06,13832.5,0.008759231614620111,65219.23,0.009690792864334163
2020-02-07,14009.62,0.012804626784746143,65418.99,0.0030629003132971455
2020-02-10,14013.94,0.0003083595415149798,65631.64,0.0032505851894075732
2020-02-11,13915.06,-0.007055831550584757,65994.49,0.0055285834698022285
2020-02-12,13650.95,-0.01898015531373909,66180.26,0.002814931973866175
2020-02-13,13799.17,0.010857852383900024,66852.27,0.010154236323641097
2020-02-14,13879.67,0.005833684199846756,66826.2,-0.00038996431983551183
2020-02-17,13718.34,-0.011623475197897304,67387.58,0.00840059737049259
2020-02-18,13632.06,-0.006289390698874686,66473.22,-0.013568672446762409
2020-02-19,13558.58,-0.005390234491338797,65974.94,-0.0074959510010196295
2020-02-20,13313.95,-0.018042449873069244,65878.87,-0.0014561589597505975
2020-02-21,13183.77,-0.00977771435223962,66546.34,0.010131776698659278
2020-02-24,13002.97,-0.013713831476125704,67134.73,0.008841808580306587
2020-02-25,12941.73,-0.004709693247004321,66678.44,-0.00679663119223084
2020-02-26,12827.96,-0.008790942169246363,66432.47,-0.003688898540517793
2020-02-27,12573.67,-0.019823105154677667,66040.12,-0.005905997473825808
2020-02-28,12904.33,0.02629781121979491,65868.54,-0.0025981176291018926
2020-03-02,12856.12,-0.003735955295625537,66295.16,0.0064768400817751814
2020-03-03,12484.42,-0.028912300134099622,66797.03,0.0075702358965570316
2020-03-04,12285.13,-0.015963096403357246,67154.47,0.005351136120872457
2020-03-05,12111.14,-0.014162650293484846,68607.36,0.021635045291847232
2020-03-06,12056.55,-0.004507420441015486,68608.88,2.2155057416650692e-05
2020-03-09,11702.13,-0.02939646913918159,70110.29,0.021883610401452147
2020-03-10,11634.86,-0.005748526123021902,69882.62,-0.00324731219910801
2020-03-11,11331.42,-0.02608024505666595,69800.85,-0.0011701049559960097
2020-03-12,10926.87,-0.03570161550802986,70287.61,0.00697355404697797
2020-03-13,10813.82,-0.01034605518323184,72447.25,0.030725756644734314
2020-03-16,10778.6,-0.0032569434297962108,72608.13,0.002220650197212626
2020-03-17,10920.52,0.013166830571688326,73099.87,0.006772519826636403
2020-03-18,10548.72,-0.03404599780962825,71493.02,-0.02198157123945621
2020-03-19,10436.26,-0.010661009108213992,72011.51,0.007252316379976476
2020-03-20,10181.78,-0.024384214268329818,72142.26,0.0018156819652859202
